OBJECTID,ID_4Digit,Name,Latitude,Longitude,Address,Advertised Hours,Confirmed Hours:,Confirmed Hours Other:,Showers,Menstrual Products,ADA Accessible,Baby Changing,Gender Neutral,Restroom Open Status,Restroom Assessed,Category,Public Buildings,Outdoor Facilities,Government Facilities,Other,Commercial,Transportation (MTS),PSJ Team Internal Notes,Public Restrooms in San Diego,Operated By,GlobalID,CreationDate,Creator,EditDate,Editor,Restroom assessment date:
466,1241,Harmony Grove Park,33.09931056,-117.1342916,"2909 Harmony Grove Rd, Escondido, CA 92029","8:00am to one hour before sunset, daily",,,,,,,,,,,,,,,,,,1,San Diego County,53794547-593a-4d13-8e3e-0e7a641e9354,42:35.3,arios8883_SDSUGeo,12:34.8,arios8883_SDSUGeo,
467,1795,Poinsettia Park,33.11387542,-117.3069532,"6600 Hidden Valley Rd, Carlsbad, CA 92011","8:00am to Sunset, daily",,,,,,,,,,,,,,,,,,1,City of Carlsbad,195309da-c10f-4004-8fea-fa4dd774dfcd,42:35.3,arios8883_SDSUGeo,12:34.8,arios8883_SDSUGeo,
468,1484,Poinsettia Park Playground,33.11543511,-117.3079322,"6600 Hidden Valley Rd, Carlsbad, CA 92011","8:00am - 10:00pm, daily",,,,,,,,,,,,,,,,,,1,City of Carlsbad,f461348a-df27-4407-841a-49897024d538,42:35.3,arios8883_SDSUGeo,12:34.8,arios8883_SDSUGeo,
469,1544,Santa Venetia Park,32.62551153,-116.9766034,"1500 Magdalena Ave, Chula Vista, CA 91913","8:00am - 10:00pm, daily",,,,,,,,,,,,,,,,,,1,City of Chula Vista,01ae36d4-0de4-4b94-90ab-b1f06674bf60,42:35.3,arios8883_SDSUGeo,12:34.8,arios8883_SDSUGeo,
470,1649,Vista La Mesa Park,32.74894604,-117.047931,"3956 Marian St, La Mesa, CA 91941","8:00am - 10:00pm, daily",,,,,,,,,,,,,,,,,,1,City of La Mesa,091cf1eb-34ac-4795-9eca-c185bf9e45c9,42:35.3,arios8883_SDSUGeo,12:34.8,arios8883_SDSUGeo,
471,1028,Aviara Community Park,33.11439837,-117.2829809,"6435 Ambrosia Ln, Carlsbad, CA 92011","8:00am - 10:00pm, daily",,,,,,,,1,,,,,,,,,,1,City of Carlsbad,af9fd287-190b-4ccb-bedd-289fb2f5a472,42:35.3,arios8883_SDSUGeo,12:34.8,arios8883_SDSUGeo,
472,1250,Hidden Canyon Community Park,33.17312359,-117.3154652,"2685 Vancouver St, Carlsbad, CA 92010","8:00am - 10:00pm, daily",,,,,,,,,,,,,,,,,,1,City of Carlsbad,6569d9aa-73c2-435e-9985-66527b3480b3,42:35.3,arios8883_SDSUGeo,12:34.8,arios8883_SDSUGeo,
473,1300,La Costa Canyon Park,33.08940047,-117.242054,"3018 Pueblo St, Carlsbad, CA 92009","8:00am - 10:00pm, daily",,,,,,,,,,,,,,,,,,1,City of Carlsbad,493d9727-e397-4907-bb4e-eda38c692deb,42:35.3,arios8883_SDSUGeo,12:34.8,arios8883_SDSUGeo,
474,1471,Park Avenue Community Center,33.12938101,-117.0837198,"210 E Park Ave, Escondido, CA 92025","8:00am - 5:00pm, daily",,,,,,,,,,,,,,,,,,1,City of Escondido,2bfb7902-d98f-49f0-9e8c-754c3756e694,42:35.3,arios8883_SDSUGeo,12:34.8,arios8883_SDSUGeo,
475,1132,Coronado City Hall,32.67789969,-117.1730326,"1825 Strand Way, Coronado, CA 92118","8:00am - 5pm, daily",,,,,,,,,,,,,,,,,,1,City of Coronado,dfde02e3-e0c2-4c6f-985f-547d5a1f662f,42:35.3,arios8883_SDSUGeo,12:34.8,arios8883_SDSUGeo,
